Parameter Source Pipeline,Detection Pipeline(s),TIC ID,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Vmag,Tmag,Gmag,rmag,imag,Zmag,Jmag,Hmag,Kmag,Teff,ra,dec,logg,rho,dist,eclong,eclat,Stellar Insolation [ergs/cm^2/s],Stellar Insolation [Earth Units],Observed Sectors [String],N Sectors_Observed
spoc-s14-s60-b0A-CP,SPOC,233602827,1749.02,CP,282.737770537067,64.4191998047716,282.737228068,64.4194660041,12.2574,0.00728112,2647.5151972,0.0033828,9.04470385496473,1.6702928e-05,1.76531479184096,0.3585741,1611.00101877725,87.23222,"[14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60]",TOI-1749 d / TOI-1749.02; multi,4.68416,0.00982267,2,0.561356008052826,0.0165649,2.24937460876106,1.3561225,495.162818682254,3959.0,157.0,14.2073509192359,17.26894,False,5,5,5,5,5,5,5,2020-02-27 22:12:18+00,2023-06-02 20:12:13+00,13.86,12.2574,13.1798,13.3476,12.783,13.7015,11.069,10.446,10.27,3959.0,282.737770537067,64.4191998047716,4.68416,3.13947,99.5561,343.822738411229,84.3109950088448,19467706.3034959,14.252447825308378,"Sector 14, Sector 15, Sector 16, Sector 17, Sector 18, Sector 19, Sector 20, Sector 21, Sector 23, Sector 24, Sector 25",11.0
spoc-s14-s41-b0A-PC,SPOC,336128819,2136.01,PC,281.176524484804,36.562368209087,281.176343304,36.5631318339,11.7371,0.00737687,2394.59372617679,0.002155869,7.85190820404635,3.6743193e-05,1.63187259568172,0.27211654,3873.95914916701,266.78912,"[26, 40]",,4.87998,0.000834811,1,0.343879997730255,0.0103308,2.17058026165306,0.5446732,379.277755825568,3384.0,157.0,4.89046879575074,14.27448,False,2,4,2,2,4,4,4,2020-08-07 21:59:54+00,2022-02-15 20:18:02+00,14.32,11.7371,12.9643,,,,10.184,9.604,9.343,3384.0,281.176524484804,36.562368209087,4.87998,8.04461,33.3631,287.762675064899,59.3143814295049,6701221.932796862,4.906012782093827,"Sector 14, Sector 26",2.0
spoc-s14-s60-b0A-PC,SPOC,142748283,2096.01,PC,151.619127342946,74.8275341256876,151.618698905,74.8272107182,13.4764,0.00730165,2601.8461723,0.0031127,3.11907156163725,1.2873729e-05,1.15859744654094,0.16846347,2964.58289114435,503.0731,"[14, 20, 21, 40, 41, 47, 53, 60]",L1 candidate in potential multi-planet system; low snr,4.98992,0.014318,1,0.247330993413925,0.00734744,1.62297956985344,0.20758255,454.50041014115,3285.0,157.0,10.084587060342,8.965935,False,2,4,2,2,4,4,4,2020-07-15 20:44:32+00,2023-05-19 16:25:10+00,15.92,13.4764,14.7736,,,,11.877,11.298,11.021,3285.0,151.619127342946,74.8275341256876,4.98992,14.407,48.4809,114.8128552183,56.7216791944483,13818487.972246807,10.116614447472548,"Sector 14, Sector 20, Sector 21",3.0
spoc-s14-s60-b0A-PC,SPOC,455947620,6022.01,PC,340.000749113921,60.8231744482622,340.00124944,60.8234999686,13.7057,0.00731475,2854.58918179498,0.00031364892,1.92810923048424,9.294661e-07,1.41744995002751,0.01998326,107974.235954274,2071.2168,"[17, 57]",v-shaped,4.8548,0.00122399,1,0.369846999645233,0.011002,17.7947707372547,19.28166,597.068559841286,3264.0,157.0,30.0343206726018,116.11209,False,3,4,3,3,4,4,4,2022-12-15 22:35:26+00,2023-05-19 15:22:07+00,16.63,13.7057,15.0202,,,,12.103,11.474,11.222,3264.0,340.000749113921,60.8231744482622,4.8548,7.05854,86.9388,22.9871201265943,60.1571021122729,41154552.765080474,30.129544123689616,"Sector 16, Sector 17, Sector 24",3.0
spoc-s01-s36-b0A-PC,SPOC/QLP,151825527,672.01,PC,167.9904,-39.3278,167.990862653,-39.328115085,11.561,0.045,1546.47998209928,0.00025414512,3.6335735388124,3.272654e-06,1.78090766973933,0.053174198,8659.56899295867,142.72823,"[9, 10, 36]",,4.75169,0.342271,1,0.544067978858948,0.016274,5.09241464006768,0.23408793,613.475999331427,3765.0,65.0,33.4742849468177,51.374588,False,3,4,3,3,4,4,4,2019-05-07 15:39:33+00,2021-07-15 19:05:10+00,13.576,11.6739,12.7364,,,,10.36,9.698,9.507,3659.0,167.990388750459,-39.3277933397934,4.69906,3.35231,66.9071,187.857979497049,-40.2019340266736,45868137.32403272,33.58039328636587,"Sector 9, Sector 10",2.0
spoc-s01-s39-b0A-PC,UNKNOWN,237920046,873.01,PC,56.7343,-63.3373,56.7366362676,-63.3368784178,12.055,0.04,1326.22271185287,0.0019678911,5.93120510162986,2.6424204e-05,2.05770330381396,0.38463053,916.30531407505,89.97431,"[1, 2, 3, 4, 11, 28, 29, 30, 31, 34, 38]",check neighbors; low SNR,4.74005,0.340758,1,0.520399987697601,0.0154554,1.68823540584209,0.51171046,518.027769602356,3797.0,64.0,17.0189658587694,10.211816,False,2,4,2,2,4,4,4,2019-07-12 16:20:28+00,2022-03-21 19:21:10+00,13.996,12.1249,13.1681,,,,10.853,10.199,9.951,3694.0,56.7343236175195,-63.3373008270785,4.7196,3.67446,76.9563,357.386687733938,-75.7355074558057,23320498.315040212,17.073104571934945,"Sector 1, Sector 2, Sector 3, Sector 4, Sector 11",5.0
qlp-s72-faintsearch,FAINT,421006834,6940.01,PC,111.871054,11.4664044,111.870696189,11.4662808579,12.544,0.007,3285.5345393,0.0015231,0.3052608,5e-07,0.309,0.164,1620.0,900.503,"[7, 44, 45, 46, 71, 72]",found in faint-star QLP search,4.85,0.0,1,0.37,0.01,2.03448,0.377961,1043.0,3338.0,157.0,196.562,13.0,False,2,4,2,2,4,4,4,2024-02-29 23:27:38+00,2024-02-29 18:22:38+00,15.043,12.5437,13.8071,,,,10.943,10.318,10.071,3338.0,111.8710540355,11.4664043879907,4.85161,6.9435,51.7699,111.783727378126,-10.3342214350214,531374935.2516598,389.0234125317019,Sector 7,1.0
qlp-s51-tois,SPOC,368287008,2015.01,PC,232.132925088584,27.360797635936,232.1326528,27.3610730467,12.8387,0.00731908,2712.9289088,0.0029226,3.3491408,1.6e-05,1.207,0.25,7210.0,4050.29,"[24, 51]",Some odd-even,4.89993,0.00294439,1,0.32,0.01,5.37673,2.27494,657.0,3223.0,157.0,31.0153,10.0,False,2,4,1,1,4,4,4,2020-06-19 06:00:39+00,2022-09-02 17:28:45+00,16.11,12.8387,14.176,14.9726,13.6507,12.6028,11.118,10.519,10.263,3223.0,232.132925088584,27.360797635936,4.89993,8.93528,47.3444,220.184945302429,44.4718044816513,16012562.511687938,11.722912200824558,Sector 24,1.0
qlp-s62-ffi,SPOC,34068865,731.01,CP,146.1243,-45.7765,146.121463999,-45.7790164817,8.011,0.016,3013.7131001,0.0006209,0.3219233,4e-07,0.199,0.086,204.0,1926.16,"[9, 35, 36, 62]",GJ 367 b,4.82492,0.061282,1,0.46,0.01,2.66076,0.921089,1296.0,3518.0,84.0,469.443,17.0,False,5,5,5,5,5,5,5,2019-06-06 16:40:58+00,2023-04-12 16:30:44+00,10.153,8.03194,9.15159,,,,6.632,6.045,5.78,3536.0,146.124319407249,-45.7765071080434,4.77463,4.74165,9.41263,172.949121092877,-54.304515621937,803826232.7203585,588.486967280979,Sector 9,1.0
spoc-s15-b02,SPOC,274662200,1285.01,PC,316.867085133064,46.8649513062235,316.867239555,46.8653733989,10.9313,0.00732298,1712.36640032813,0.0026089381,1.22843879165983,0.000257302,1.91901180477847,0.65036553,1229.49651247718,129.57385,"[15, 16]",TFOP FP,4.71105,0.00888535,1,0.53023,0.015565,1.86626299475715,1.8184054,841.100311605962,3526.0,157.0,118.280234591723,11.960702,False,5,5,5,5,5,5,5,2019-10-17 00:30:12+00,2019-10-17 00:30:12+00,13.152,10.9313,12.0687,,,,9.488,8.835,8.577,3526.0,316.867085133064,46.8649513062235,4.71105,3.53608,41.9934,344.475199991479,58.8116947865715,162073865.83475462,118.65544305242898,"Sector 15, Sector 16",2.0
